マスター,地名,センター,BURNABLE GARBAGE,RECYCLABLE GARBAGE,UNBURNABLE GARBAGE,PLASTIC GARBAGE
1,Tamagawa,NULL,月 木,20210321 20210418 20210516 20210620 20210718 20210815 20210919 20211017 20211121 20211219 20220123 20220220 20220320,火2 火4,金
1,Shinsyuku,NULL,月 木,20210328 20210425 20210523 20210627 20210725 20210822 20210926 20211024 20211128 20211226 20220130 20220227 20220327,土2 土4,水
1,FushimiA,NULL,月 木,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211010 20211107 20211212 20220109 20220206 20220306,土2 土4,水
1,FushimiB,NULL,火 金,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211010 20211107 20211212 20220109 20220206 20220306,土2 土4,水
1,Doniwa,NULL,火 金,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211003 20211107 20211205 20220109 20220206 20220306,月2 月4,木
1,Kumaiden,NULL,月 木,20210307 20210404 20210502 20210606 20210711 20210801 20210905 20211010 20211107 20211212 20220109 20220206 20220306,火2 火4,金
2,Tohata,NULL,月 木,20210328 20210425 20210523 20210627 20210725 20210822 20210926 20211024 20211128 20211226 20220130 20220227 20220327,火2 火4,金
2,Matoba,NULL,月 木,20210321 20210418 20210516 20210620 20210718 20210815 20210919 20211017 20211121 20211219 20220116 20220220 20220320,火2 火4,金
2,Yukawa,NULL,月 木,20210321 20210418 20210516 20210620 20210718 20210815 20210919 20211017 20211121 20211219 20220123 20220220 20220320,火2 火4,金
2,KamitokuraA,NULL,火 金,20210314 20210411 20210509 20210613 20210711 20210808 20210912 20211010 20211114 20211212 20220109 20220213 20220313,木2 木4,月
2,KamitokuraB,NULL,火 金,20210314 20210411 20210509 20210613 20210711 20210808 20210912 20211010 20211114 20211212 20220109 20220213 20220313,木2 木4,月
2,ShimotokuraA,NULL,火 金,20210328 20210425 20210523 20210627 20210725 20210822 20210926 20211024 20211128 20211226 20220123 20220227 20220327,水2 水4,木
2,ShimotokuraB,NULL,火 金,20210328 20210425 20210523 20210627 20210725 20210822 20210926 20211024 20211128 20211226 20220123 20220227 20220327,水2 水4,木
2,Nakatokura,NULL,月 木,20210328 20210425 20210523 20210627 20210725 20210822 20210926 20211024 20211128 20211226 20220130 20220227 20220327,金2 金4,火
2,Sotobara,NULL,月 木,20210314 20210411 20210509 20210613 20210711 20210808 20210912 20211010 20211114 20211212 20220116 20220213 20220313,金2 金4,火
3,NagasawaA,NULL,月 木,20210321 20210418 20210516 20210620 20210718 20210815 20210919 20211017 20211121 20211219 20220123 20220220 20220320,水2 水4,土
3,NagasawaB,NULL,月 木,20210321 20210418 20210516 20210620 20210718 20210815 20210919 20211017 20211121 20211219 20220123 20220220 20220320,水2 水4,土
3,Motonagasawa,NULL,月 木,,20210314 20210411 20210509 20210613 20210711 20210808 20210912 20211010 20211114 20211212 20220116 20220213 20220313,水2 水4,土
3,Yahata,NULL,火 金,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211003 20211107 20211205 20220109 20220206 20220306,水2 水4,土
3,KakidaA,NULL,火 金,,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211003 20211107 20211205 20220109 20220206 20220306,月2 月4,木
3,KakidaB,NULL,火 金,,20210307 20210404 20210502 20210606 20210704 20210801 20210905 20211003 20211107 20211205 20220109 20220206 20220306,月2 月4,木
